,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
45483,Damansara Heights,3980000.0,6,4.0,3.0,Bungalow,5023.0,Fully Furnished,Land area
45486,Bangsar South,1200000.0,3+1,2.0,1.0,Serviced Residence (Corner),1146.0,Partly Furnished,Built-up
45487,KLCC,2520000.0,2+1,3.0,1.0,Serviced Residence (Intermediate),1490.0,Fully Furnished,Built-up
45488,KLCC,2190000.0,2+1,2.0,1.0,Serviced Residence (Intermediate),1325.0,Fully Furnished,Built-up
45489,Sri Hartamas,1200000.0,2,2.0,1.0,Townhouse (Intermediate),1500.0,Fully Furnished,Built-up
45490,Jalan Klang Lama (Old Klang Road),680000.0,2,2.0,2.0,Condominium,935.0,Fully Furnished,Built-up
45491,Jalan Klang Lama (Old Klang Road),720000.0,4,2.0,2.0,Condominium (EndLot),1092.0,Partly Furnished,Built-up
45492,Jalan Klang Lama (Old Klang Road),720000.0,4,2.0,2.0,Condominium (EndLot),1092.0,Partly Furnished,Built-up
45493,KLCC,2945000.0,3+1,3.0,3.0,Serviced Residence (Corner),3100.0,Partly Furnished,Built-up
45494,KLCC,2800000.0,3+1,3.0,3.0,Serviced Residence (Corner),3300.0,Fully Furnished,Built-up
45502,Jalan Klang Lama (Old Klang Road),1750000.0,6+1,4.0,5.0,Semi-detached House (Intermediate),3885.0,Partly Furnished,Land area
45510,Jalan Klang Lama (Old Klang Road),1500000.0,3+1,4.0,4.0,Condominium,2638.0,Partly Furnished,Built-up
45511,Jalan Klang Lama (Old Klang Road),928000.0,3+1,2.0,2.0,Condominium (EndLot),1578.0,Unfurnished,Built-up
45512,Jalan Klang Lama (Old Klang Road),695000.0,2+1,2.0,2.0,Condominium (Corner),1168.0,Partly Furnished,Built-up
45513,Jalan Klang Lama (Old Klang Road),650000.0,2+1,2.0,2.0,Condominium (Corner),1168.0,Partly Furnished,Built-up
45516,Bukit Jalil,950000.0,5,2.0,2.0,Serviced Residence (Intermediate),1218.0,Fully Furnished,Built-up
45517,KLCC,2475000.0,3+1,4.0,1.0,Serviced Residence (Intermediate),2500.0,Partly Furnished,Built-up
45518,Cheras,1500000.0,4+1,4.0,4.0,Condominium (Corner),2059.0,Fully Furnished,Built-up
45520,Mont Kiara,3596800.0,4+1,6.0,3.0,Condominium (Corner),3720.0,Fully Furnished,Built-up
45522,Titiwangsa,652000.0,3,2.0,1.0,Serviced Residence (Intermediate),850.0,Unfurnished,Built-up
45526,KL City,1800000.0,3,3.0,1.0,Serviced Residence (Corner),1157.0,Partly Furnished,Built-up
